1|마이크 반 디엠|148|1982-05-25| 
2|전수일|138|1977-11-17| 
3|곤노 하지메|36|1969-12-06| 
4|피터 엥거트|196|1974-10-21| 
5|토니노 잔가르디|42|1951-10-08| 
6|이일형|116|1972-03-09| 
7|닐 맥케너리-웨스트|132|1969-02-28| 
8|칼릭스토 비에이토|22|1968-09-07| 
9|손호|145|1986-03-13| 
10|에토 우도|185|1977-03-29| 
11|월트 벡커|189|1973-01-27| 
12|스콧 도우|197|1953-10-21| 
13|허우 샤오시엔|54|1969-07-18| 
14|마이클 바파로|49|1971-03-02| 
15|토드 헤인즈|14|1983-06-20| 
16|다니엘 B. 이스크|219|1964-03-05| 
17|마리나 쿠나로바|197|1984-08-23| 
18|원석호|82|1987-01-26| 
19|존 밀턴 브랜턴|9|1969-02-07| 
20|키무라 류이치|190|1954-09-05| 
21|조셀린 무어하우스|123|1960-12-14| 
22|김용운|206|1972-05-05| 
23|반안자|98|1974-04-15| 
24|카스가 요시노리|213|1959-10-16| 
25|션|16|1956-10-16| 
26|모토키 타카시|165|1961-06-19| 
27|톰 후퍼|20|1976-01-18| 
28|팀 밀러|179|1981-01-08| 
29|마크 클리바노프|82|1975-01-23| 
30|조정래|157|1957-07-10| 
31|이은희|3|1986-03-10| 
32|페이브 라즈|69|1974-07-14| 
33|이브 몽마외르|49|1971-03-08| 
34|토비 바우만|157|1977-02-13| 
35|마이클 우리|132|1958-09-06| 
36|이윤기|113|1982-04-19| 
37|소한 로이|119|1978-07-23| 
38|비제이 크리시나 아차리아|73|1984-06-23| 
39|파스칼 모렐리|95|1975-11-17| 
40|데이빗 닉슨|207|1965-10-07| 
41|다라 오코넬|202|1960-03-23| 
42|오드리 커밍스|169|1989-05-22| 
43|단 미르비쉬|172|1952-11-05| 
44|라즐로 네메스|59|1960-03-13| 
45|이케지마 유타카|47|1974-04-20| 
46|김수빈|97|1978-01-24| 
47|안일환|80|1978-05-12| 
48|J 블레이크슨|15|1985-06-07| 
49|글렌 밀러|66|1983-04-04| 
50|마키하라 료타로|200|1970-07-08| 
51|아리 산델|70|1985-01-27| 
52|헤리스 데멜|136|1961-06-17| 
53|박갑종|201|1950-03-20| 
54|송재용|216|1952-10-08| 
55|제임스 콕스|20|1967-08-18| 
56|존 라잉|39|1972-12-25| 
57|야마자키 쿠니노리|90|1973-08-22| 
58|줄리앙 세리|145|1964-03-11| 
59|알렉스 프로야스|153|1958-10-21| 
60|조형운|216|1979-09-08| 
61|구모|150|1983-01-09| 
62|박수영,권칠인,권호영|23|1980-07-10| 
63|김희정|131|1969-08-04| 
64|이지승|214|1963-04-05| 
65|페트르 아멜린|109|1982-02-16| 
66|미키 타카히로|99|1975-02-27| 
67|사만다 푸터먼,라이언 미야모토|93|1986-02-06| 
68|베레니카 베일리|162|1988-07-25| 
69|타구치 토모로오|187|1964-12-29| 
70|비토리오 데 시카|108|1971-01-21| 
71|장예모,전장장|12|1988-09-09| 
72|야마삐|71|1985-06-01| 
73|히라야마 히데유키|31|1956-02-09| 
